ID,cc_cons
17591,15503.704195873324
13541,16881.368576261735
13431,15256.578957476037
8687,17640.132079139934
14727,15094.336508774628
14988,16324.772754568357
14859,18080.829084166246
16636,17925.435457656167
7625,17135.665313344638
16492,17691.270836583048
13674,16503.42154524599
11981,16700.79207430383
5185,17961.939771617373
15288,16220.28710490554
18526,15693.166304300321
16760,16298.01784033324
10805,19134.193472975545
8830,16410.312340968336
8926,17411.973213202244
10974,18519.263670941276
2155,17352.465566877403
17251,17709.724094948313
12154,17175.953172368183
12227,16452.6914540862
19961,16756.757565145545
13866,16479.345604710696
17498,16977.4971341163
7241,17037.943514442322
414,17727.76481751531
206,15518.514707456778
7420,16747.005443776077
4601,16204.887425105126
2768,16237.911319999912
8120,16379.445164630593
18584,15800.786727302122
16697,18720.299527816103
16238,18697.131900548324
3772,18174.221869825848
3462,18191.428810029538
710,16563.19144468695
558,16058.022767526598
1244,17033.790180659016
1302,17480.283626206954
547,17149.341001513872
19129,16875.34716824625
237,16649.32916222085
11122,17097.503203775334
4438,16079.993008579777
18371,16022.773897870291
6401,18699.6618429059
13770,16913.645525749038
18317,17052.707038339584
19226,16790.460895338154
4126,16630.114646830356
11313,16660.260443714644
3925,18461.286234732066
15973,16127.577721988382
12281,18774.187801522818
353,17522.69130810224
907,16713.082643193673
1711,17010.543285453354
9617,17087.29233925532
12928,18958.31932226105
3523,18340.979676555522
18838,16727.271326943006
17609,16835.557725881124
306,15744.389486021697
14812,16155.851767666805
1551,15434.07561219106
16640,19452.28956239287
13546,17229.420317840653
4968,16955.27689242841
13371,17170.072583165154
3981,18835.969858813027
11568,18280.719012411282
5662,17047.989960603973
19586,17298.5017858805
14489,18449.974500601136
14153,16379.549484410665
7626,17075.264028249054
3085,15877.291194633786
14821,17159.83957382571
9815,17855.375057906276
6506,15311.810567392227
6176,17547.69741416364
13040,14849.010625777639
1325,16828.023575169573
330,18370.237362872238
2389,16459.34410872443
10391,16560.297182107217
1019,16271.636655380797
4338,18257.1352647312
19849,18046.619226023275
13667,17417.284536733125
12709,17099.669419691047
12701,17289.21190175835
18563,15683.774649902976
19665,19462.763655756364
5251,17020.77870992824
6671,16183.56380087806
15887,16187.513121327014
544,15459.33602210967
13494,16959.781175166947
4304,17799.00070456335
12181,16979.168046294904
15041,16572.66652307782
14167,16178.579883801514
4659,17843.69674725562
1820,18773.928919863865
6317,16942.4160602942
313,17226.93979357777
12467,15406.357904942726
13452,17919.519015257443
3464,15931.17509812624
4890,16651.822593539462
11567,16963.155991201907
17396,14650.29448978096
13188,15893.464829978742
15605,17661.434482938737
7577,16639.61628397962
8160,15319.03380240888
1429,15854.510936771054
14928,17304.87632455056
3349,18776.030692991273
799,17615.451821356695
12678,17047.153509859316
19053,16995.90678678587
15806,16837.539177529987
2854,15563.597739821078
4144,16691.344081385214
16232,17283.505099541882
10365,16076.712298132534
4202,16635.284965611532
9671,16491.213953601036
6615,16218.216610108224
12050,16505.32629707028
13998,15453.983813281071
7406,16536.59399492702
12497,18797.415511981675
4662,18207.821500906197
3661,15092.502477553891
17436,17735.83714854345
2332,17729.94718841143
16771,16032.685698468045
17110,18496.33053465874
15967,17629.262657644358
5758,18017.290320041146
2882,15361.15392735849
10774,18336.43729415079
7750,17879.093248927027
16516,16145.802733177974
3670,15420.941959573824
15883,16535.098061176926
2947,16736.17075639996
13476,18139.077648761544
13301,18129.098175586547
6468,15694.440404921123
15135,18076.924614906027
16278,16944.085370439323
12114,16197.32612958074
3839,18299.451758244344
2886,17205.74943834916
11928,18156.426451921212
15155,17466.225282795895
4316,16467.763823477664
7299,16716.585721976742
1306,16972.730489509675
19221,16673.201088543672
7039,16413.849038288525
11499,15855.007917746541
1312,16068.178765161616
2124,16655.62737002718
1907,16500.819532078956
16979,17127.375008136438
6629,17654.322743984074
5295,16843.74652829306
11961,18579.795283978732
11653,17627.04210676351
2822,16993.877081714018
9335,17298.61441094218
742,15792.22524699743
8080,16892.348623687878
12707,15218.524538996775
3559,16638.711036182605
4455,17224.730934669817
16907,15328.29603299419
6453,17385.056515853794
1108,16375.29913295311
280,14825.737782161752
16566,14587.933410112166
17535,18638.65208365477
15464,18403.534769140326
936,18067.770691853184
17214,15716.661467095953
6182,17425.758256938923
14305,17800.10888011011
11840,16141.406564746156
7534,17694.373359558344
3025,17490.533785525015
6393,17076.980838981464
13441,16961.812632787813
18252,17084.419454361618
11194,17524.208455333996
15711,16873.26931353762
5219,14893.97491985009
16914,18456.23373317633
10003,16601.04192840839
12338,16533.97245892233
3813,17146.25148286194
15088,17152.727381662193
10155,16801.34449401156
1466,17651.98527046566
15472,17265.20913370759
17157,18005.002396556396
18166,17384.981557237155
15940,15299.092458369709
16627,15586.561225756072
10125,17115.25326082722
16485,16840.523283304
683,17648.861003400576
6119,16792.164025825554
4454,17874.482167538747
9712,16888.698455410544
4120,16739.460832113822
15722,15347.792513540848
6352,17342.340266970794
17883,16315.63043508892
18204,16854.11073148893
9971,17008.452330679185
9023,17609.635648329022
13472,17193.504401636197
