ID,cc_cons
17591,15695.007492058074
13541,15695.007492058074
13431,15695.007492058074
8687,15695.007492058074
14727,15695.007492058074
14988,15695.007492058074
14859,15695.007492058074
16636,15695.007492058074
7625,15695.007492058074
16492,15695.007492058074
13674,15695.007492058074
11981,15695.007492058074
5185,15695.007492058074
15288,15695.007492058074
18526,15695.007492058074
16760,15695.007492058074
10805,15695.007492058074
8830,15695.007492058074
8926,15695.007492058074
10974,15695.007492058074
2155,15695.007492058074
17251,15695.007492058074
12154,15695.007492058074
12227,15695.007492058074
19961,15695.007492058074
13866,15695.007492058074
17498,15695.007492058074
7241,15695.007492058074
414,15695.007492058074
206,15695.007492058074
7420,15695.007492058074
4601,15695.007492058074
2768,15695.007492058074
8120,15695.007492058074
18584,15695.007492058074
16697,15695.007492058074
16238,15695.007492058074
3772,15695.007492058074
3462,15695.007492058074
710,15695.007492058074
558,15695.007492058074
1244,15695.007492058074
1302,15695.007492058074
547,15695.007492058074
19129,15695.007492058074
237,15695.007492058074
11122,15695.007492058074
4438,15695.007492058074
18371,15695.007492058074
6401,15695.007492058074
13770,15695.007492058074
18317,15695.007492058074
19226,15695.007492058074
4126,15695.007492058074
11313,15695.007492058074
3925,15695.007492058074
15973,15695.007492058074
12281,15695.007492058074
353,15695.007492058074
907,15695.007492058074
1711,15695.007492058074
9617,15695.007492058074
12928,15695.007492058074
3523,15695.007492058074
18838,15695.007492058074
17609,15695.007492058074
306,15695.007492058074
14812,15695.007492058074
1551,15695.007492058074
16640,15695.007492058074
13546,15695.007492058074
4968,15695.007492058074
13371,15695.007492058074
3981,15695.007492058074
11568,15695.007492058074
5662,15695.007492058074
19586,15695.007492058074
14489,15695.007492058074
14153,15695.007492058074
7626,15695.007492058074
3085,15695.007492058074
14821,15695.007492058074
9815,15695.007492058074
6506,15695.007492058074
6176,15695.007492058074
13040,15695.007492058074
1325,15695.007492058074
330,15695.007492058074
2389,15695.007492058074
10391,15695.007492058074
1019,15695.007492058074
4338,15695.007492058074
19849,15695.007492058074
13667,15695.007492058074
12709,15695.007492058074
12701,15695.007492058074
18563,15695.007492058074
19665,15695.007492058074
5251,15695.007492058074
6671,15695.007492058074
15887,15695.007492058074
544,15695.007492058074
